form_id,lobbyist_registrant,organization_firm,employer,registration_period
R010749,"Sanchez, Delora R",Cornerstone Government Affairs,Town of La Plata,11/01/21-10/31/22
R010750,"Sanchez, Delora R",Cornerstone Government Affairs,"UMUC Ventures, Inc.",11/01/21-10/31/22
R010744,"Sanchez, Delora R",Cornerstone Government Affairs,Patriot Point LLC,11/01/21-10/31/22
R010722,"Sanchez, Delora R",Cornerstone Government Affairs,Historic St. Mary's City Commission Foundation,11/01/21-10/31/22
R010707,"Sanchez, Delora R",Cornerstone Government Affairs,CropLife America,11/01/21-10/31/22
R011764,"Sanchez, Delora R",Cornerstone Government Affairs,University of Maryland Medical System,02/23/22-10/31/22
R011101,"Sanchez, Delora R",Cornerstone Government Affairs,"Prince George's County, Maryland",12/08/21-10/31/22
R010702,"Sanchez, Delora R",Cornerstone Government Affairs,Capital One,11/01/21-10/31/22
R010697,"Sanchez, Delora R",Cornerstone Government Affairs,"AstraZeneca Pharmaceuticals, LP",11/01/21-10/31/22
R010741,"Sanchez, Delora R",Cornerstone Government Affairs,Organon LLC,11/01/21-02/06/22
R011108,"Sanchez, Delora R",Cornerstone Government Affairs,"CMI General Contractors, Inc.",12/08/21-10/31/22
R010718,"Sanchez, Delora R",Cornerstone Government Affairs,Domtar Corporation,11/01/21-10/31/22
R010740,"Sanchez, Delora R",Cornerstone Government Affairs,Nutanix,11/01/21-10/31/22
R010392,"Sanchez, Delora R",Cornerstone Government Affairs,Alliance of Health Care Sharing Ministries,11/01/21-06/29/22
R010737,"Sanchez, Delora R",Cornerstone Government Affairs,Maryland National Capital Park and Planning Commission,11/01/21-10/31/22
R010747,"Sanchez, Delora R",Cornerstone Government Affairs,St. Mary's College of Maryland Foundation,11/01/21-10/31/22
R010742,"Sanchez, Delora R",Cornerstone Government Affairs,Owner-Operator Independent Drivers Association,11/01/21-10/31/22
R010729,"Sanchez, Delora R",Cornerstone Government Affairs,"Lifebridge Health, Inc.",11/01/21-10/31/22
R010748,"Sanchez, Delora R",Cornerstone Government Affairs,Sysco Corporation,11/01/21-10/31/22
R011375,"Sanchez, Delora R",Cornerstone Government Affairs,"Mechanical Contractors Association of Maryland, Inc.",01/10/22-10/31/22
R010735,"Sanchez, Delora R",Cornerstone Government Affairs,Maryland Troopers Association,11/01/21-10/31/22
R010716,"Sanchez, Delora R",Cornerstone Government Affairs,"Deloitte Consulting, LLP",11/01/21-10/31/22
R010733,"Sanchez, Delora R",Cornerstone Government Affairs,Maryland Farm Bureau,11/01/21-10/31/22
R010730,"Sanchez, Delora R",Cornerstone Government Affairs,Make-A-Wish Mid-Atlantic Inc.,11/01/21-10/31/22
R010704,"Sanchez, Delora R",Cornerstone Government Affairs,"Clark Construction Group, LLC",11/01/21-10/31/22
R010731,"Sanchez, Delora R",Cornerstone Government Affairs,Maryland Auto Insurance,11/01/21-10/31/22
R010745,"Sanchez, Delora R",Cornerstone Government Affairs,Service Coordination Inc.,11/01/21-10/31/22
R010728,"Sanchez, Delora R",Cornerstone Government Affairs,"Kathe P Hospitality, Inc",11/01/21-10/31/22
R010743,"Sanchez, Delora R",Cornerstone Government Affairs,Palo Alto Networks,11/01/21-10/31/22
R010760,"Sanders, Jalen",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,11/08/21-04/30/22
R011459,"Satterfield, Christine A.",Office of Bruce Bereano,"One Call Concepts, Inc.",01/14/22-10/31/22
R009308,"Saul Rinaldi, Kara","AnnDyl Policy Group, LLC",Association of Air Conditioning Professionals (AACP),11/01/21-10/31/22
R009307,"Saul Rinaldi, Kara","AnnDyl Policy Group, LLC",Heating & Air Conditioning Contractors of Maryland,11/01/21-10/31/22
R011879,"Scarr, Emily",Maryland PIRG Citizen Lobby,Maryland PIRG Citizen Lobby,03/21/22-10/31/22
R009625,"Scattergood, Virginia Koenig",Northrop Grumman Corporation,Northrop Grumman Corporation,11/01/21-10/31/22
R009386,"Scharpf, Stephanie",Jai Medical Systems,Jai Medical Systems,11/01/21-04/30/22
R009292,"Schmerling, Josh",Zirkin and Schmerling Public Affairs,"Saiontz and Kirk, P.A.",11/01/21-10/31/22
R011897,"Schmidt-Perkins, Drusilla",NA,Jeffery Horstman,04/01/22-10/31/22
R011393,"Schmidt-Perkins, Drusilla",NA,Maryland Pesticide Education Network,01/11/22-10/31/22
R011781,"Schmidt-Perkins, Drusilla",NA,Advocates For Herrings Bay,02/25/22-10/31/22
R011780,"Schmidt-Perkins, Drusilla",NA,Clean Water Action,02/25/22-10/31/22
R011079,"Schmidt-Perkins, Drusilla",NA,Clean Air Task Force,12/06/21-10/31/22
R011080,"Schmidt-Perkins, Drusilla",NA,Back River Precast,12/06/21-10/31/22
R011673,"Schmitt, Katlyn",Center for Progressive Reform,Center for Progressive Reform,02/15/22-04/11/22
R011107,"Schneiderman, Franz",Consumer Auto,Consumer Auto,12/03/21-10/31/22
R010723,"Schumitz, Kali",Maryland Center on Economic Policy,Maryland Center on Economic Policy,11/09/21-10/31/22
R009089,"Schwartz, Metz, & Wise, P.A.","Benson, Emily L","Schwartz, Metz, & Wise, P.A.",11/01/21-10/31/22
R008751,"Scott, Charles E",Washington Metropolitan Area Transit Authority,WMATA,11/01/21-10/31/22
R011063,"Serrano, Kony Lisseth","CASA de Maryland, Inc.","CASA de Maryland, Inc.",11/01/22-10/31/23
R008216,Service Employees International Union,"Park, Saerom",Service Employees International Union,11/01/21-10/31/22
R011111,"Sesker, Jacob","Harpswell Strategies, LLC",Federal Realty Investment Trust,12/08/21-04/05/22
R009382,"Seunarine, Jai  Mitra",Jai Medical Systems,Jai Medical Systems,11/01/21-10/31/22
R008807,"Severoni, Anthony","Sunovion Pharmaceuticals, Inc.","Sunovion Pharmaceuticals, Inc.",11/01/21-10/31/22
R010897,"Shah, Rishi",Maryland PIRG Citizen Lobby,Maryland PIRG Citizen Lobby,11/01/21-05/01/22
R008126,"Shahinian, Katharine",Episcopal Diocese of Maryland,Episcopal Diocese of Maryland,11/01/21-05/01/22
R009388,"Shannon, Kelley",Jai Medical Systems,Jai Medical Systems,11/01/21-10/31/22
R010689,"Shapiro, Melanie",Maryland Network Against Domestic Violence,Maryland Network Against Domestic Violence,11/01/21-10/31/22
R009139,"Shattuck, Daniel",Brocato & Shattuck,Maryland Coalition of Interior Designers,11/01/21-10/31/22
R009135,"Shattuck, Daniel",Brocato & Shattuck,"National Academy of Elder Law Attorneys, Maryland/DC Chapter",11/01/21-10/31/22
R009130,"Shattuck, Daniel",Brocato & Shattuck,American Physical Therapy Association Maryland - APTA MD,11/01/21-10/31/22
R009123,"Shattuck, Daniel",Brocato & Shattuck,"League for People with Disabilities, The",11/01/21-10/31/22
R009136,"Shattuck, Daniel",Brocato & Shattuck,Maryland Psychological Association,11/01/21-10/31/22
R009124,"Shattuck, Daniel",Brocato & Shattuck,MEDNAX Health Solutions Partner,11/01/21-10/31/22
R009138,"Shattuck, Daniel",Brocato & Shattuck,US Acute Care Solutions,11/01/21-10/31/22
R009132,"Shattuck, Daniel",Brocato & Shattuck,Bethesda Newtrition and Wellness,11/01/21-10/31/22
R009134,"Shattuck, Daniel",Brocato & Shattuck,Maryland Continuing Care Residents Association,11/01/21-10/31/22
R009131,"Shattuck, Daniel",Brocato & Shattuck,Maryland Academy of Nutrition and Dietetics,11/01/21-10/31/22
R009133,"Shattuck, Daniel",Brocato & Shattuck,Maryland Science Center,11/01/21-10/31/22
R010995,"Shaughnessy, William David, Jr.","SunMed Growers, LLC","SunMed Growers, LLC",11/01/21-10/31/22
R008794,"Sherman, Angela R",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/01/21-10/31/22
R010924,"Shewbridge, Rylie Elizabeth",Bellamy Genn Group LLC,"Daily Record, The",11/01/21-10/31/22
R010917,"Shewbridge, Rylie Elizabeth",Bellamy Genn Group LLC,"Arc Central Chesapeake Region, The",11/01/21-10/31/22
R010915,"Shewbridge, Rylie Elizabeth",Bellamy Genn Group LLC,"Bellamy Genn Group, LLC",11/01/21-10/31/22
R011482,"Shewbridge, Rylie Elizabeth",Bellamy Genn Group LLC,Edwards Performance Solutions,01/17/22-10/31/22
R010916,"Shewbridge, Rylie Elizabeth",Bellamy Genn Group LLC,ACLU of Maryland,11/01/21-10/31/22
R011590,"Shewbridge, Rylie Elizabeth",Bellamy Genn Group LLC,Organizing Black,01/24/22-10/31/22
R010919,"Shewbridge, Rylie Elizabeth",Bellamy Genn Group LLC,Compassion & Choices Action Network,11/01/21-10/31/22
R011483,"Shewbridge, Rylie Elizabeth",Bellamy Genn Group LLC,Job Opportunities Task Force (JOTF),01/17/22-10/31/22
R010923,"Shewbridge, Rylie Elizabeth",Bellamy Genn Group LLC,Maryland Legal Services Corporation,11/01/21-10/31/22
R010920,"Shewbridge, Rylie Elizabeth",Bellamy Genn Group LLC,Everytown for Gun Safety Action Fund,11/01/21-10/31/22
R011815,"Shewbridge, Rylie Elizabeth",Bellamy Genn Group LLC,Americans for Patient Access,03/03/22-10/31/22
R011480,"Shewbridge, Rylie Elizabeth",Bellamy Genn Group LLC,Open Society Policy Center,01/17/22-10/31/22
R010921,"Shewbridge, Rylie Elizabeth",Bellamy Genn Group LLC,Kaiser Permanente,11/01/21-10/31/22
R010922,"Shewbridge, Rylie Elizabeth",Bellamy Genn Group LLC,Maryland Legal Aid,11/01/21-10/31/22
R010918,"Shewbridge, Rylie Elizabeth",Bellamy Genn Group LLC,"Avaya, Inc.",11/01/21-10/31/22
R010720,"Shull, Alexandra","Compass Government Relations Partners, LLC","Vesta Solutions, Inc.",11/08/21-10/31/22
R010564,"Shull, Alexandra","Compass Government Relations Partners, LLC","Transit Wireless, LLC",11/01/21-10/31/22
R010557,"Shull, Alexandra","Compass Government Relations Partners, LLC",Navitas Business Consulting,11/01/21-10/31/22
R010563,"Shull, Alexandra","Compass Government Relations Partners, LLC",Sanofi US,11/01/21-10/31/22
R012143,"Shull, Alexandra","Compass Government Relations Partners, LLC",American Fidelity,08/22/22-10/31/22
R011041,"Shull, Alexandra","Compass Government Relations Partners, LLC",InState Partners on behalf of Inmar,12/01/21-10/31/22
R010554,"Shull, Alexandra","Compass Government Relations Partners, LLC","Maryland Association for Justice, LLC.",11/01/21-10/31/22
R010876,"Shull, Alexandra","Compass Government Relations Partners, LLC","Coalition for Community Solar Access, Inc.",11/12/21-10/31/22
R011792,"Shull, Alexandra","Compass Government Relations Partners, LLC",Workday,02/25/22-10/31/22
R010565,"Shull, Alexandra","Compass Government Relations Partners, LLC",United Parcel Service,11/01/21-10/31/22
R012129,"Shull, Alexandra","Compass Government Relations Partners, LLC",American Clean Power,08/22/22-10/31/22
R010555,"Shull, Alexandra","Compass Government Relations Partners, LLC","Montgomery County Collaboration Council for Children, Youth and Families, Inc. on behalf of the Maryland Association of Local Management Boards",11/01/21-10/31/22
R010552,"Shull, Alexandra","Compass Government Relations Partners, LLC",In State Partners,11/01/21-10/31/22
R011050,"Shull, Alexandra","Compass Government Relations Partners, LLC",InState Partners on behalf of Indigov,12/01/21-10/31/22
R010551,"Shull, Alexandra","Compass Government Relations Partners, LLC","JJF Management Services, Inc.",11/01/21-10/31/22
R010556,"Shull, Alexandra","Compass Government Relations Partners, LLC","Motorola Solutions, Inc.",11/01/21-10/31/22
R012000,"Shull, Alexandra","Compass Government Relations Partners, LLC",HNTB Corporation,06/06/22-10/31/22
R010560,"Shull, Alexandra","Compass Government Relations Partners, LLC",Penn-Mar Human Services,11/01/21-10/31/22
R011920,"Shull, Alexandra","Compass Government Relations Partners, LLC",Bamboo Health,04/18/22-10/31/22
R010553,"Shull, Alexandra","Compass Government Relations Partners, LLC","Maryland - American Water Company, Inc.",11/01/21-10/31/22
R011046,"Shull, Alexandra","Compass Government Relations Partners, LLC",InState Partners on behalf of Thingtech,12/01/21-10/31/22
R010558,"Shull, Alexandra","Compass Government Relations Partners, LLC",PayIt,11/01/21-10/31/22
R009268,"Sidh, Sushant","Capitol Strategies, LLC","Children's Guild, The",11/01/21-10/31/22
R009263,"Sidh, Sushant","Capitol Strategies, LLC",Brightview Senior Living,11/01/21-10/31/22
R009230,"Sidh, Sushant","Capitol Strategies, LLC","Al Fakher Distribution USA, Inc",11/01/21-10/31/22
R008753,"Sidh, Sushant","Capitol Strategies, LLC","MTM, Inc",11/01/21-10/31/22
R011865,"Sidh, Sushant","Capitol Strategies, LLC",Abner's,03/14/22-10/31/22
R009644,"Sidh, Sushant","Capitol Strategies, LLC",Erickson Living Management c/o Redwood Capital Investments,11/01/21-01/17/22
R009948,"Sidh, Sushant","Capitol Strategies, LLC",Meritus Health,11/01/21-10/31/22
R009944,"Sidh, Sushant","Capitol Strategies, LLC",Maryland School Bus Contractors Association,11/01/21-10/31/22
R009637,"Sidh, Sushant","Capitol Strategies, LLC",Delta Bingo t/a Daily Double Bingo,11/01/21-10/31/22
R009751,"Sidh, Sushant","Capitol Strategies, LLC",Knowledge Services,11/01/21-10/31/22
R009227,"Sidh, Sushant","Capitol Strategies, LLC",Accenture LLP,11/01/21-10/31/22
R009658,"Sidh, Sushant","Capitol Strategies, LLC",Gannett Fleming,11/01/21-10/31/22
R009265,"Sidh, Sushant","Capitol Strategies, LLC",Centurion,11/01/21-10/31/22
R009341,"Sidh, Sushant","Capitol Strategies, LLC",International Council of Shopping Centers,11/01/21-10/31/22
R009958,"Sidh, Sushant","Capitol Strategies, LLC","Allegis, Redwood, Maxim Public Affairs, LLC",11/01/21-10/31/22
R009337,"Sidh, Sushant","Capitol Strategies, LLC",Covanta Energy LLC,11/01/21-10/31/22
R009963,"Sidh, Sushant","Capitol Strategies, LLC",Veritas HHS,11/01/21-10/31/22
R009234,"Sidh, Sushant","Capitol Strategies, LLC","American Express Travel Related Services, Inc.",11/01/21-10/31/22
R009942,"Sidh, Sushant","Capitol Strategies, LLC","Maryland Geothermal Association, The",11/01/21-10/31/22
R009645,"Sidh, Sushant","Capitol Strategies, LLC",Exelon Corporation,11/01/21-10/31/22
R009951,"Sidh, Sushant","Capitol Strategies, LLC","MTC Logistics, Inc.",11/01/21-10/31/22
R009239,"Sidh, Sushant","Capitol Strategies, LLC",American Recyclable Plastic Bag Alliance,11/01/21-10/31/22
R009965,"Sidh, Sushant","Capitol Strategies, LLC",W.L. Gore & Associates,11/01/21-10/31/22
R009959,"Sidh, Sushant","Capitol Strategies, LLC",Slice Wireless Solutions,11/01/21-10/31/22
R009310,"Sidh, Sushant","Capitol Strategies, LLC","Cormac Group, The",11/01/21-10/31/22
R009966,"Sidh, Sushant","Capitol Strategies, LLC","Waveseer, Inc.",11/01/21-10/31/22
R011976,"Sidh, Sushant","Capitol Strategies, LLC",HMSHost,06/01/22-10/31/22
R009937,"Sidh, Sushant","Capitol Strategies, LLC",Maxim Healthcare Services c/o Redwood Capital,11/01/21-01/17/22
R009952,"Sidh, Sushant","Capitol Strategies, LLC",NorthBay Education c/o Redwood Capital,11/01/21-01/17/22
R009248,"Sidh, Sushant","Capitol Strategies, LLC",Association for Accessible Medicines,11/01/21-10/31/22
R009240,"Sidh, Sushant","Capitol Strategies, LLC","Aramark Correctional Services, LLC",11/01/21-10/31/22
R009957,"Sidh, Sushant","Capitol Strategies, LLC",Qlarant,11/01/21-10/31/22
R009340,"Sidh, Sushant","Capitol Strategies, LLC",Chesapeake Regional Information System for our Patients,11/01/21-10/31/22
R009651,"Sidh, Sushant","Capitol Strategies, LLC",Ferrovial Construction US Corp,11/01/21-10/31/22
R009304,"Sidh, Sushant","Capitol Strategies, LLC","Cintra US Services, LLC",11/01/21-10/31/22
R009964,"Sidh, Sushant","Capitol Strategies, LLC",Verizon Communications,11/01/21-10/31/22
R009960,"Sidh, Sushant","Capitol Strategies, LLC","Stonewall Capital, LLC",11/01/21-10/31/22
R009961,"Sidh, Sushant","Capitol Strategies, LLC",Tradepoint Atlantic c/o Redwood Capital,11/01/21-01/17/22
R009962,"Sidh, Sushant","Capitol Strategies, LLC",Vanguard Retail Property Development,11/01/21-10/31/22
R010965,"Sidh, Sushant","Capitol Strategies, LLC","Residences at Benning Road LLC, The",11/22/21-10/31/22
R009752,"Sidh, Sushant","Capitol Strategies, LLC",Luminis Health,11/01/21-10/31/22
R009664,"Sidh, Sushant","Capitol Strategies, LLC",HHS Tech Group,11/01/21-10/31/22
R009262,"Sidh, Sushant","Capitol Strategies, LLC","Atlantic Bingo Supply, Inc",11/01/21-10/31/22
R011890,"Sidh, Sushant","Capitol Strategies, LLC",TikTok Inc. US,03/28/22-10/31/22
R011995,"Sidh, Sushant","Capitol Strategies, LLC",Kapsch TrafficCom North America,06/02/22-10/31/22
R009950,"Sidh, Sushant","Capitol Strategies, LLC",MGM Resorts International,11/01/21-05/15/22
R012025,"Sidh, Sushant","Capitol Strategies, LLC",Ameresco,06/23/22-10/31/22
R010066,"Silverman, Steven","SSGOVRELATIONS,LLC",Consumer Auto,11/01/21-10/31/22
R010070,"Silverman, Steven","SSGOVRELATIONS,LLC","High Road Foundation, The",11/01/21-10/31/22
R010075,"Silverman, Steven","SSGOVRELATIONS,LLC",Washington Property Companies,11/01/21-10/31/22
R010073,"Silverman, Steven","SSGOVRELATIONS,LLC",A Wider Circle,11/01/21-10/31/22
R011061,"Simon, Travis Blake",SEIU Local 500,SEIU Local 500,11/30/21-10/31/22
R008755,"Simpson, Maurice , Jr.",Exelon Corporation,"Constellation Energy Generation, LLC",11/01/21-10/31/22
R009947,"Sims, Sherrie S","G.S. Proctor & Associates, Inc.","PennTex Ventures, LLC",11/01/21-10/31/22
R009949,"Sims, Sherrie S","G.S. Proctor & Associates, Inc.",United States Bomb Technician Association (USBTA),11/01/21-10/31/22
R009940,"Sims, Sherrie S","G.S. Proctor & Associates, Inc.",Calvert County Day School dba as The Calverton School,11/01/21-10/31/22
R009939,"Sims, Sherrie S","G.S. Proctor & Associates, Inc.",BHT Properties Group,11/01/21-10/31/22
R009945,"Sims, Sherrie S","G.S. Proctor & Associates, Inc.",City of District Heights,11/01/21-10/31/22
R009946,"Sims, Sherrie S","G.S. Proctor & Associates, Inc.","Melwood Horticultural Training Center, Inc.",11/01/21-10/31/22
R009943,"Sims, Sherrie S","G.S. Proctor & Associates, Inc.",College of Southern Maryland,11/01/21-10/31/22
R009941,"Sims, Sherrie S","G.S. Proctor & Associates, Inc.","County Commissioners of Charles County, Maryland",11/01/21-10/31/22
R009938,"Sims, Sherrie S","G.S. Proctor & Associates, Inc.","AAA Mid-Atlantic, Inc.",11/01/21-10/31/22
R011398,"Sims, Sherrie S","G.S. Proctor & Associates, Inc.",Maryland Pharmacists Association,01/11/22-10/31/22
R012144,"Sinclair, Andrew",Exxon Mobil Corporation,Exxon Mobil Corporation,08/26/22-10/31/22
R010550,"Siri, Michelle",The Women's Law Center of Maryland,"Women's Law Center of Maryland, Inc.",11/04/21-12/30/21
R011238,"Skvirsky, Valerie",Harris Jones & Malone,Microsoft Corporation,12/27/21-10/31/22
R010519,"Skvirsky, Valerie",Harris Jones & Malone,"Harris Jones & Malone, LLC",11/01/21-10/31/22
R012033,"Slotman, John",Biogen,Biogen,06/29/22-10/31/22
R009760,"Smalls, Cindy Renee",AFSCME,AFSCME IU,11/01/21-10/31/22
R010637,"Smedick, David",Sierra Club,Sierra Club,11/01/21-02/11/22
R009479,"Smith, Donna",Compassion & Choices,Compassion and Choices,11/01/21-12/20/21
R008847,"Smith, Joshua",CI Renewables LLC,CI Renewables,11/01/21-10/31/22
R008047,"Smith, Daniel",VS Strategies,Culta,11/01/21-10/31/22
R010561,"Smith, Eric","Eric Smith for Winning Strategies: Fatherhood, The Courts & Custody, Incorporated","Winning Strategies: Fatherhood, The Courts & Custody, Incorporated",11/01/21-04/30/22
R011218,"Smith, Donna",Compassion & Choices,Compassion & Choices Action Network,12/21/21-10/31/22
R010617,"Smith , Sarah  Joan","Bryson F. Popham, PA",Maryland Association of Mutual Insurance Companies (MAMIC),11/01/21-10/31/22
R010613,"Smith , Sarah  Joan","Bryson F. Popham, PA",Financial Services Institute,11/01/21-10/31/22
R010621,"Smith , Sarah  Joan","Bryson F. Popham, PA","Safelite Group, Inc.",11/01/21-10/31/22
R010620,"Smith , Sarah  Joan","Bryson F. Popham, PA",Progressive Insurance Company,11/01/21-10/31/22
R010614,"Smith , Sarah  Joan","Bryson F. Popham, PA",Insurance Agents and Brokers of Maryland (IAB),11/01/21-10/31/22
R010099,"Smith , Sarah  Joan","Bryson F. Popham, PA","National Mentor Holdings, LLC",11/01/21-10/31/22
R010615,"Smith , Sarah  Joan","Bryson F. Popham, PA",Maryland Association of Health Underwriters (MAHU),11/01/21-10/31/22
R010608,"Smith , Sarah  Joan","Bryson F. Popham, PA",Building Owners and Managers Association of Greater Baltimore (BOMA),11/01/21-10/31/22
R011912,"Smith , Sarah  Joan","Bryson F. Popham, PA",Maryland Rooftop Solar Coalition (MRSC),04/06/22-10/31/22
R011471,"Snyder, Gregory  Michael, Jr.",Bellamy Genn Group LLC,Job Opportunities Task Force (JOTF),01/17/22-08/10/22
R011556,"Snyder, Gregory  Michael, Jr.",Bellamy Genn Group LLC,Organizing Black,01/24/22-08/10/22
R011470,"Snyder, Gregory  Michael, Jr.",Bellamy Genn Group LLC,Maryland Legal Aid,01/17/22-08/10/22
R012131,"Snyder, Abigail",Baltimore Jewish Council,Baltimore Jewish Council,08/24/22-10/31/22
R011024,"Snyder, Rebecca",MDDC Press Association,MD/DC Press Association,11/30/21-10/31/22
R011812,"Snyder, Gregory  Michael, Jr.",Bellamy Genn Group LLC,Americans for Patient Access,03/03/22-08/10/22
R010808,"Snyder, Gregory  Michael, Jr.",Bellamy Genn Group LLC,Maryland Academy of Audiology,11/08/21-08/10/22
R010810,"Snyder, Gregory  Michael, Jr.",Bellamy Genn Group LLC,"National Association for the Advancement of Colored People- Legal Defense & Educational Fund, Inc.",11/08/21-08/10/22
R010804,"Snyder, Gregory  Michael, Jr.",Bellamy Genn Group LLC,Enoch Pratt Free Library,11/08/21-08/10/22
R010809,"Snyder, Gregory  Michael, Jr.",Bellamy Genn Group LLC,Wine Institute,11/08/21-08/10/22
R010811,"Snyder, Gregory  Michael, Jr.",Bellamy Genn Group LLC,"Daily Record, The",11/08/21-08/10/22
R011469,"Snyder, Gregory  Michael, Jr.",Bellamy Genn Group LLC,Open Society Policy Center,01/17/22-08/10/22
R010807,"Snyder, Gregory  Michael, Jr.",Bellamy Genn Group LLC,Everytown for Gun Safety Action Fund,11/08/21-08/10/22
R010801,"Snyder, Gregory  Michael, Jr.",Bellamy Genn Group LLC,"Williams Companies, Inc., The",11/01/21-08/10/22
R010802,"Snyder, Gregory  Michael, Jr.",Bellamy Genn Group LLC,Kaiser Permanente,11/08/21-08/10/22
R010805,"Snyder, Gregory  Michael, Jr.",Bellamy Genn Group LLC,"Bellamy Genn Group, LLC",11/08/21-08/10/22
R010803,"Snyder, Gregory  Michael, Jr.",Bellamy Genn Group LLC,American Forest & Paper Association,11/08/21-08/10/22
R010348,"Spangler, Courtney McGrath",Spangler Strategic Advisors,"CleanBay Renewables, LLC",11/01/21-10/31/22
R010611,"Spence, Richard","Strategic Partnerships, Inc.",Gene Therapy Systems Inc. dba Genlantis/FirstResponder Technologies,11/01/21-03/17/22
R010610,"Spence, Richard","Strategic Partnerships, Inc.","Crowdstrike, Inc.",11/01/21-03/17/22
R008131,"Spiker, Daniel",National Rifle Association,National Rifle Association,11/01/21-10/31/22
R008821,"Spinello, John","Astellas Pharma US, Inc.","Astellas Pharma US, Inc.",11/01/21-10/31/22
R009316,"Spolan, Jacob E",AnnDyl Policy Group LLC,Association of Air Conditioning Professionals (AACP),11/01/21-10/31/22
R009315,"Spolan, Jacob E",AnnDyl Policy Group LLC,Heating & Air Conditioning Contractors of Maryland,11/01/21-10/31/22
R007979,"Spriggs, Delese",Maryland State Education Association,Maryland State Education Association,11/01/21-10/31/22
R012448,"Spyropoulos, Alexander","Ghost Management Group, LLC (dba Weedmaps)","Ghost Management Group, LLC (dba Weedmaps)",10/11/22-10/31/22
R009800,"Stallings, Nicole",Maryland Hospital Association,Maryland Hospital Association,11/01/21-10/31/22
R010290,"Steinberg, Deborah",Legal Action Center,Legal Action Center,11/01/21-10/31/22
R011661,"Stevens, Kristin Renee",Burrell International Group LLC,Dynamic Infrastructure,02/07/22-04/30/22
R011964,"Stevens, Kristin Renee",Burrell International Group LLC,Steer Tech,02/07/22-10/31/22
R012078,"Stevens, Kristin Renee",Burrell International Group LLC,Comus Sustainable Pozzolan Products,07/18/22-10/31/22
R011660,"Stevens, Kristin Renee",Burrell International Group LLC,"Emergent BioSolutions, Inc.",02/07/22-10/31/22
R008038,"Stewart, Thomas Jay","Maryland Works, Inc.","Maryland Works, Inc.",11/01/21-12/01/21
R008564,"Stierhoff, John R.",Venable LLP,Easter Seals Serving DC MD VA,11/01/21-10/31/22
R008689,"Stierhoff, John R.",Venable LLP,Jai Medical Systems,11/01/21-10/31/22
R011824,"Stierhoff, John R.",Venable LLP,FullBloom,03/07/22-10/31/22
R008717,"Stierhoff, John R.",Venable LLP,State Law Enforcement Officers Labor Alliance (SLEOLA),11/01/21-10/31/22
R008704,"Stierhoff, John R.",Venable LLP,Maryland D.C. Delaware Broadcasters Association,11/01/21-10/31/22
R011894,"Stierhoff, John R.",Venable LLP,"Security West Land and Development Company, L.P.",03/28/22-10/31/22
R008566,"Stierhoff, John R.",Venable LLP,Maryland Family Network,11/01/21-10/31/22
R011447,"Stierhoff, John R.",Venable LLP,Service Contract Industry Council (SCIC),01/10/22-10/31/22
R008803,"Stierhoff, John R.",Venable LLP,"SEED School of Maryland, The",11/01/21-10/31/22
R008653,"Stierhoff, John R.",Venable LLP,"Fraternal Order of Police, Baltimore County Lodge #4",11/01/21-12/31/21
R008679,"Stierhoff, John R.",Venable LLP,"Council for Administrative and Supervisory Employees, Inc. (CASE)",11/01/21-10/31/22
R011451,"Stierhoff, John R.",Venable LLP,Investment Company Institute (ICI),01/13/22-10/31/22
R008715,"Stierhoff, John R.",Venable LLP,"Neighborhood Housing Services of Baltimore, Inc.",11/01/21-10/31/22
R008710,"Stierhoff, John R.",Venable LLP,Maryland Optometric Association,11/01/21-10/31/22
R008714,"Stierhoff, John R.",Venable LLP,National Aquarium,11/01/21-10/31/22
R011984,"Stierhoff, John R.",Venable LLP,Maple Springs Baptist Bible College and Seminary,06/01/22-10/31/22
R008687,"Stierhoff, John R.",Venable LLP,"Dell Technologies, Inc.",11/01/21-08/31/22
R008691,"Stierhoff, John R.",Venable LLP,Marriott International,11/01/21-10/31/22
R008639,"Stierhoff, John R.",Venable LLP,Abbott Laboratories,11/01/21-10/31/22
R008670,"Stierhoff, John R.",Venable LLP,City of Bowie,11/01/21-10/31/22
R008712,"Stierhoff, John R.",Venable LLP,Medical Mutual Liability Insurance Society of Maryland,11/01/21-10/31/22
R008713,"Stierhoff, John R.",Venable LLP,Montgomery County Chamber of Commerce,11/01/21-10/31/22
R008693,"Stierhoff, John R.",Venable LLP,"Maryland Academy of Physician Assistants, Inc. (MDAPA)",11/01/21-10/31/22
R008716,"Stierhoff, John R.",Venable LLP,Round House Theatre,11/01/21-10/31/22
R008718,"Stierhoff, John R.",Venable LLP,Teach Coalition,11/01/21-10/31/22
R011572,"Stierhoff, John R.",Venable LLP,Synthetic Turf Council,01/31/22-10/31/22
R008658,"Stierhoff, John R.",Venable LLP,Baltimore Gas and Electric Company,11/01/21-10/31/22
R008644,"Stierhoff, John R.",Venable LLP,Baltimore Community Foundation,11/01/21-10/31/22
R008578,"Stierhoff, John R.",Venable LLP,Arts for Learning Maryland,11/01/21-10/31/22
R011649,"Stierhoff, John R.",Venable LLP,"Court Appointed Special Advocates (CASA) of Baltimore County, Inc.",02/07/22-10/31/22
